completion,prompt
surprise,i am currently feeling i wouldnt surprised if its flipped again
joy,i was feeling rather smug about being a black toenail virgin despite having run for a little over years now
joy,i feel like i have less time for stuff since i got super depressed and never wanna do much
anger,i am feeling a little bit hostile towards my ex today
sadness,i feel kind of dumb for saying this but i was just upset at how much strength i lost during the last few months
joy,i finally got tired of feeling like no matter how smart or well educated or determined i was i was never going to get ahead in vancouver
sadness,i could feel the gloomy london fog and the oppressive tropical heat even though i was on vacation in oregon
anger,i just cant seem to hold myself back when it comes to feeling i wish i could be heartless if just to keep the pain away sigh whatever here i am being fucking emo all over my live journal
joy,i feel so safe hearing them and knowing hows their day like and all
anger,i do know the next time im having a glass of red wine im tossing a big ol ice cube in it and if im feeling really rebellious i may not even swirl the glass or sniff it and i recommend you try the same thing
joy,i have to admit that i was beginning to feel pretty smug
anger,i feel tortured here
love,im also feeling gracious and i want to bless you with a few more old tried and true family recipes
anger,i couldnt help feel infuriated when i had left the building
anger,im feeling really agitated for some reason i think its coz im confused
sadness,i am feeling lousy recently
joy,i feel like a rockette and i also feel like im glad its over
fear,i feel uptight love had to show me one thing i was so right
joy,i feel that the world expects one to be a productive individual on sunny days so i resist and tend to be more productive on rainy days
joy,i really enjoyed giving my class one because i knew all the answers and got to feel clever all day and two because it you don t often get a chance to play with these sort of things in training sessions and it was nice to spend time with everyone as new groups came through throughout the day
sadness,i learnt to never talk about feelings when ive had a drink because it gets messy
love,i know i feel a sense of obligation to be loyal to the us canada and taiwan depending on whether or not you think the last is a country
